target variable;mapping;Question;Question;Note;InterVA4
id;as.integer(record);;;;0
elder;true_to_y(ageInYears > 65 || age_adult > 65);Was (s)he aged 65 years or over at death?;;;1010
midage;true_to_y((ageInYears >=50 && ageInYears <= 64) || (age_group ==  'adult' && age_adult >= 50 && age_adult <= 64));Was (s)he aged 50 to 64 years at death?;;;1020
adult;true_to_y((ageInYears >=15 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 15 && age_adult <= 49));Was (s)he aged 15-49 years at death?;;;1030
child;true_to_y((ageInYears >= 5 && ageInYears <=14) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 5*365.25 && age_child_days <= 11*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 5*12 && age_child_months <= 11*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 5 && age_child_years <= 11) || (age_group ==  'adult' && age_adult > 11 && age_adult <= 14));Was (s)he aged 5 to 14 years at death?;;;1040
under5;true_to_y((ageInYears >= 1 && ageInYears <=4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 1*365.25 && age_child_days <= 4*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1*12 && age_child_months <= 4*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 1 && age_child_years <= 4));Was (s)he aged 1 to 4 years at death?;;;1050
infant;true_to_y((ageInDays >= 30.4 && ageInDays <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 30.4 && age_child_days <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1 && age_child_months <= 12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years == 1));Was (s)he aged 1 to 11 months at death?;;;1060
neonate;true_to_y(((ageInDays >= 0 && ageInDays <= 28)) || (age_group ==  'neonate' && age_neonate_days <= 28));Was (s)he aged 28 days or less at death?;;;1070
male;true_to_y(id1A110 == 'male');Was the deceased male?;What was the sex of the deceased?;;1080
female;true_to_y(id1A110 == 'female');Was the deceased female?;What was the sex of the deceased?;;1090
magegp1;true_to_y(id1A110 == 'female' && ((ageInYears >=12 && ageInYears <= 19) || (age_group ==  'adult' && age_adult >= 12 && age_adult <= 19)));Was this a woman aged 12 to 19 years at death?;What was the sex of the deceased?;;1100
magegp2;true_to_y(id1A110 == 'female' && ((ageInYears >=20 && ageInYears <= 34) || (age_group ==  'adult' && age_adult >= 20 && age_adult <= 34)));Was this a woman aged 20-34 years at death?;What was the sex of the deceased?;;1110
magegp3;true_to_y(id1A110 == 'female' && ((ageInYears >=35 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 35 && age_adult <= 49)));Was this a woman aged 35-49 years at death?;What was the sex of the deceased?;;1120
died_d1;true_to_y((ageInDays <= 1 && ageInDays >= 0) || (age_group == 'neonate' && (age_neonate_days <= 1 || age_neonate_days <= 1 || age_neonate_minutes <= 24*60)));Did the baby die within 24 hours of birth?;;;1130
died_d23;true_to_y((ageInDays > 0 && ageInDays < 2) || (age_group  == 'neonate' && ((age_neonate_days > 0 && age_neonate_days < 2) || (age_neonate_hours > 24 && age_neonate_hours < 48) || (age_neonate_minutes > 24*60 && age_neonate_minutes < 2*24*60)) ));Did the baby die more than 24 hours after birth but within 48 hours from birth?;;;1140
died_d36;true_to_y((ageInDays > 1 && ageInDays <= 7) || (age_group == 'neonate' && ( (age_neonate_days > 2 && age_neonate_days <= 7) || (age_neonate_hours > 48 && age_neonate_hours < 7*24) || (age_neonate_minutes > 2*24*60 && age_neonate_minutes < 7*24*60))));Did baby die more than 48 hours from birth but within the first week of life?;;;1150
died_w1;true_to_y((ageInDays > 7 && ageInDays <= 28) || (age_group == 'neonate' && ( (age_neonate_days > 7 && age_neonate_days <= 28) || (age_neonate_hours > 7*24 && age_neonate_hours < 28*24) || (age_neonate_minutes > 7*24*60 && age_neonate_minutes < 28*24*60) )));Did baby die after first week, but within first 28 days?;;;1160
acute;true_to_y(id3A300 >= 0 && id3A300 < 7*3);Was (s)he ill for less than 3 weeks before death?;For how many days was (s)he ill before (s)he died?;Unit in days;1170
chronic;true_to_y(id3A300 >= 7*3);Was (s)he ill for 3 weeks or more before death?;For how many days was (s)he ill before (s)he died?;Unit in days;1180
sudden;true_to_y(id3A310 == 'yes');Did (s)he die suddenly?;Did (s)he die suddenly?;;1190
wet_seas;true_to_y(id3A280 == 'wet');Did (s)he die during the wet season?;During which season did (s)he die?;;1200
dry_seas;true_to_y(id3A280 == 'dry');Did (s)he die during the dry season?;During which season did (s)he die?;;1210
heart_dis;true_to_y(id3A160 == 'yes');Was there any diagnosis of Heart disease;Was there any diagnosis by a physician or health worker of heart disease?;;1220
tuber;true_to_y(id3A100 == 'yes');Was there any diagnosis of Tuberculosis;Was there any diagnosis by a physician or health worker of tuberculosis?;;1230
hiv_aids;true_to_y(id3A110 == 'yes');Was there any diagnosis of HIV/AIDS;Was there any diagnosis by a physician or health worker of HIV/AIDS?;;1240
hypert;true_to_y(id3A150 == 'yes');Was there any diagnosis of High Blood pressure;Was there any diagnosis by a physician or health worker of high blood pressure?;;1250
diabetes;true_to_y(id3A170 == 'yes');Was there any diagnosis of Diabetes;Was there any diagnosis by a physician or health worker of diabetes?;;1260
asthma;true_to_y(id3A180 == 'yes');Was there any diagnosis of Asthma;Was there any diagnosis by a physician or health worker of asthma?;;1270
epilepsy;true_to_y(id3A190 == 'yes');Was there any diagnosis of Epilepsy;Was there any diagnosis by a physician or health worker of epilepsy?;;1280
cancer;true_to_y(id3A200 == 'yes');Was there any diagnosis of Cancer;Was there any diagnosis by a physician or health worker of cancer?;;1290
copd;true_to_y(id3A210 == 'yes');Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD);Was there any diagnosis by a physician or health worker of Chronic Obstructive Pulmonary Disease (COPD)?;;1300
dement;true_to_y(id3A220 == 'yes');Was there any diagnosis of Dementia;Was there any diagnosis by a physician or health worker of dementia?;;1310
depress;true_to_y(id3A230 == 'yes');Was there any diagnosis of Depression;Was there any diagnosis by a physician or health worker of depression?;;1320
stroke;true_to_y(id3A240 == 'yes'); Was there any diagnosis of Stroke;Was there any diagnosis by a physician or health worker of stroke?;;1330
sickle;true_to_y(id3A250 == 'yes');Was there any diagnosis of Sickle cell disease;Was there any diagnosis by a physician or health worker of sickle cell disease?;;1340
kidney_dis;true_to_y(id3A260 == 'yes');Was there any diagnosis of Kidney disease;Was there any diagnosis by a physician or health worker of kidney disease?;;1350
liver_dis;true_to_y(id3A270 == 'yes');Was there any diagnosis of Liver disease;Was there any diagnosis by a physician or health worker of liver disease?;;1360
measles;true_to_y(id3A140 == 'yes');Was there any diagnosis of Measles;Was there any diagnosis by a physician or health worker of measles?;;1370
men_con;true_to_y(id3B420 == 'yes');Did (s)he have mental confusion?;Did (s)he have mental confusion?;;1380
mencon3;true_to_y(id3B420 == 'yes' && id3B430 >= 3*30);Did (s)he have mental confusion for 3 months or more?;For how many months did (s)he have mental confusion?;;1390
malaria;true_to_y(id3A120 == 'yes');Did (s)he have a recent positive test for malaria?;Did (s)he have a recent positive test by a physician or health worker for malaria?;This reflects a positive test for malaria within a week of death.;1400
malarneg;true_to_y(id3A130 == 'yes');Did (s)he have a recent negative test for malaria?;Did (s)he have a recent negative test by a physician or health worker for malaria?;This reflects a negative test for malaria within a week of death.;1410
fever;true_to_y(id3B100 == 'yes');Did (s)he have a fever?;Did (s)he have a fever?;Select this if there were any signs of fever during the final illness;2000
ac_fever;true_to_y(id3B100 == 'yes' && id3B110 < 14);Did (s)he have fever for less than 2 weeks before death?;How many days did the fever last?;;2010
ch_fever;true_to_y(id3B100 == 'yes' && id3B110 >= 14);Did (s)he have fever for 2 weeks or more before death?;How many days did the fever last?;;2020
night_sw;true_to_y(id3B120 == 'yes');Did (s)he have night sweats?;Did (s)he have night sweats?;;2030
cough;true_to_y(id3B130 == 'yes');Did (s)he have a cough?;Did (s)he have a cough?;;2040
ac_cough;true_to_y(id3B130 == 'yes' && id3B140 < 21);Did (s)he have a cough for less than 3 weeks before death?;For how many days did (s)he have a cough?;;2050
ch_cough;true_to_y(id3B130 == 'yes' && id3B140 >= 21);Did (s)he have a cough for 3 weeks or more before death?;For how many days did (s)he have a cough?;;2060
pr_cough;true_to_y(id3B150 == 'yes');Was the cough productive with sputum?;Was the cough productive, with sputum?;;2070
bl_cough;true_to_y(id3B160 == 'yes');Did (s)he cough up blood?;Did (s)he cough up blood?;;2080
whoop;true_to_y(id3B170 == 'yes');Did (s)he make a whooping sound when coughing?;Did (s)he make a whooping sound when coughing?;;2090
breath;true_to_y(id3B180 == 'yes');Did (s)he have any breathing problem?;Did (s)he have any breathing problem?;;2100
rapid_br;true_to_y(id3B190 == 'yes');Did (s)he have fast breathing?;During the illness that led to death, did (s)he have fast breathing?;"If the ""any breathing problem"" indicator is selected, select this one if the deceased was an infant or child who was breathing much faster than normal.";2110
ac_rpbr;true_to_y(id3B190 == 'yes' && id3B200 < 14);Did (s)he have fast breathing for less than 2 weeks?;For how many days did the fast breathing last?;;2120
ch_rpbr;true_to_y(id3B190 == 'yes'&& id3B200 >= 14);Did (s)he have fast breathing for 2 weeks or more?;For how many days did the fast breathing last?;;2130
br_less;true_to_y(id3B210 == 'yes');Did (s)he have breathlessness?;Did (s)he have breathlessness?;;2140
ac_brl;true_to_y(id3B210 == 'yes' && id3B220 < 2);Did (s)he have breathlessness for less than 2 weeks?;For how many weeks did (s)he have breathlessness?;;2150
ch_brl;true_to_y(id3B210 == 'yes' &&id3B220 >= 2);Did (s)he have breathlessness for 2 weeks or more?;For how many weeks did (s)he have breathlessness?;;2160
exert_br;true_to_y(id3B180 == 'yes' && id3B230 == 'yes');Was (s)he unable to carry out daily routines due to breathlessness?;Was (s)he unable to carry out daily routines due to breathlessness?;;2170
lying_br;true_to_y(id3B180 == 'yes' && id3B240 == 'yes');Was (s)he breathless while lying flat?;Was (s)he breathless while lying flat?;;2180
chest_in;true_to_y(id3B250 == 'yes');Did you see the lower chest wall/ribs being pulled in as the child breathed?;Did you see the lower chest wall/ribs being pulled in as the child breathed?;;2190
wheeze;true_to_y((id3B180 == 'yes' && id3B260 == 'stridor') || (id3B180 == 'yes' && id3B260 == 'grunting') || (id3B180 == 'yes' && id3B260 == 'wheezing'));Did (s)he have noisy breathing (grunting or wheezing)?;During the illness that led to death did his/her breathing sound like any of the following:;;2200
ch_pain;true_to_y(id3B270 == 'yes');Did (s)he have severe chest pain?;Did (s)he have severe chest pain?;;2210
yellow;true_to_y(id3B750 == 'yes');Did (s)he have yellow discoloration of the eyes?;Did (s)he have yellow discoloration of the eyes?;;2220
diarr;true_to_y(id3B280 == 'yes');Did (s)he have diarrhoea?;Did (s)he have diarrhoea?;;2230
ac_diarr;true_to_y(id3B280 == 'yes' && id3B290 < 14);Did (s)he have diarrhoea for less than 2 weeks?;For how many days did (s)he have diarrhoea?;;2240
pe_diarr;true_to_y(id3B280 == 'yes' && id3B290 >= 14 && id3B290 < 4*7);Did (s)he have diarrhoea for 2 to 4 weeks?;For how many days did (s)he have diarrhoea?;Select this if the diarrhoea lasted for 2 to 4 weeks, not necessarily every day;2250
ch_diarr;true_to_y(id3B280 == 'yes' && id3B290 >= 4*7);Did (s)he have diarrhoea for 4 weeks or more?;For how many days did (s)he have diarrhoea?;;2260
bl_diarr;true_to_y(id3B280 == 'yes' && id3B300 == 'yes');At any time during the final illness was there blood in the stools?;At any time during the final illness was there blood in the stools?;;2270
vomiting;true_to_y(id3B310 == 'yes');Did (s)he vomit?;Did (s)he vomit?;;2280
bl_vomit;true_to_y(id3B310 == 'yes' && (id3B320 == 'yes' || id3B325 == 'yes'));"Did (s)he vomit ""coffee grounds"" or bright red/blood?";Did (s)he vomit blood?;;2290
abdom;true_to_y(id3B330 == 'yes');Did (s)he have any abdominal problem?;Did (s)he have any abdominal problem?;;2300
abd_pain;true_to_y(id3B330 == 'yes' && id3B340 == 'yes');Did (s)he have severe abdominal pain?;Did (s)he have severe abdominal pain?;;2310
ac_abdp;true_to_y(id3B340 == 'yes' && id3B350 >= 0 && id3B350 < 14);Did the abdominal pain last for less than 2 weeks?;For how many days before death did (s)he have severe abdominal pain?;;2320
ch_abdp;true_to_y(id3B340== 'yes' && id3B350 >= 14);Did the abdominal pain last for 2 weeks or more?;For how many days before death did (s)he have severe abdominal pain?;;2330
swe_abd;true_to_y(id3B360 == 'yes');Did (s)he have a more than usually protruding abdomen?;Did (s)he have a more than usually protruding abdomen?;;2340
ac_swab;true_to_y(id3B370 >= 0 && id3B370 < 14);Did (s)he have a more than usually protruding abdomen for less than 2 weeks?;For how many days did (s)he have a more than usually protruding abdomen?;;2350
ch_swab;true_to_y(id3B370 >= 14);Did (s)he have a more than usually protruding abdomen for 2 weeks or more?;For how many days did (s)he have a more than usually protruding abdomen?;;2360
abd_mass;true_to_y(id3B330 == 'yes' && id3B380 == 'yes');Did (s)he have any lump inside the abdomen?;Did (s)he have any mass in the abdomen?;;2370
ac_abdm;true_to_y(id3B380 == 'yes' && id3B390 >= 0 && id3B390 < 14);Did (s)he have a lump inside the abdomen for less than 2 weeks?;For how many days before death did (s)he have a mass in the abdomen?;;2380
ch_abdm;true_to_y(id3B380 == 'yes' && id3B390 >= 14);Did (s)he have a lump inside the abdomen for 2 weeks or more?;For how many days before death did (s)he have a mass in the abdomen?;;2390
headache;true_to_y(id3B400 == 'yes');Did (s)he have a severe headache?;Did (s)he have a severe headache?;;2400
skin;true_to_y(id3B530 == 'yes');Did (s)he have any skin problems?;Did (s)he have any skin problems?;;2410
skin_les;true_to_y(id3B530 == 'yes' && id3B540 == 'yes');Did (s)he have any ulcers, abscess or sores anywhere except on the feet?;Did (s)he have any ulcers, abscess or sores anywhere except on the feet?;;2420
sk_feet;true_to_y(id3B530 == 'yes' && id3B542 == 'yes');Did (s)he have any , ulcers, abscess or sores on the feet that were not also on other parts of the body?;Did (s)he have any ulcers, abscess or sores on the feet that were not also on other parts of the body?;;2430
rash;true_to_y(id3B530 == 'yes' && id3B560 == 'yes');During the illness that led to death, did (s)he have any skin rash?;During the illness that led to death, did (s)he have any skin rash?;;2440
ac_rash;true_to_y(id3B560 == 'yes' && id3B570 >= 0 && id3B570 < 7);Did (s)he have the skin rash for less than 1 week?;For how many days did (s)he have the skin rash?;;2450
ch_rash;true_to_y(id3B560 == 'yes' && id3B570 >= 7);Did (s)he have the skin rash for 1 week or more?;For how many days did (s)he have the skin rash?;;2460
measrash;true_to_y(id3B530 == 'yes' && id3B580 == 'yes');Did (s)he have measles rash?;Did (s)he have measles rash (use local term)?;;2470
