target variable	mapping	Question	Question	Note	InterVA4
ID	as.integer(rec_id)				0
ELDER	true_to_y(ageInYears > 65 || age_adult > 65)	Was (s)he aged 65 years or over at death?			1010
MIDAGE	true_to_y((ageInYears >=50 && ageInYears <= 64) || (age_group ==  'adult' && age_adult >= 50 && age_adult <= 64))	Was (s)he aged 50 to 64 years at death?			1020
ADULT	true_to_y((ageInYears >=15 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 15 && age_adult <= 49))	Was (s)he aged 15-49 years at death?			1030
CHILD	true_to_y((ageInYears >= 5 && ageInYears <=14) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 5*365.25 && age_child_days <= 11*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 5*12 && age_child_months <= 11*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 5 && age_child_years <= 11) || (age_group ==  'adult' && age_adult > 11 && age_adult <= 14))	Was (s)he aged 5 to 14 years at death?			1040
UNDER5	true_to_y((ageInYears >= 1 && ageInYears <=4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 1*365.25 && age_child_days <= 4*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1*12 && age_child_months <= 4*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 1 && age_child_years <= 4))	Was (s)he aged 1 to 4 years at death?			1050
INFANT	true_to_y((ageInDays >= 30.4 && ageInDays <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 30.4 && age_child_days <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1 && age_child_months <= 12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years == 1))	Was (s)he aged 1 to 11 months at death?			1060
NEONATE	true_to_y(((ageInDays >= 0 && ageInDays <= 28)) || (age_group ==  'neonate' && age_neonate_days <= 28))	Was (s)he aged 28 days or less at death?			1070
MALE	true_to_y(id1A110 == 'male')	Was the deceased male?	What was the sex of the deceased?		1080
FEMALE	true_to_y(id1A110 == 'female')	Was the deceased female?	What was the sex of the deceased?		1090
MAGEGP1	true_to_y(id1A110 == 'female' && ((ageInYears >=12 && ageInYears <= 19) || (age_group ==  'adult' && age_adult >= 12 && age_adult <= 19)))	Was this a woman aged 12 to 19 years at death?	What was the sex of the deceased?		1100
MAGEGP2	true_to_y(id1A110 == 'female' && ((ageInYears >=20 && ageInYears <= 34) || (age_group ==  'adult' && age_adult >= 20 && age_adult <= 34)))	Was this a woman aged 20-34 years at death?	What was the sex of the deceased?		1110
MAGEGP3	true_to_y(id1A110 == 'female' && ((ageInYears >=35 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 35 && age_adult <= 49)))	Was this a woman aged 35-49 years at death?	What was the sex of the deceased?		1120
DIED_D1	true_to_y((ageInDays <= 1 && ageInDays >= 0) || (age_group == 'neonate' && (age_neonate_days <= 1 || age_neonate_days <= 1 || age_neonate_minutes <= 24*60)))	Did the baby die within 24 hours of birth?			1130
DIED_D23	true_to_y((ageInDays > 0 && ageInDays < 2) || (age_group  == 'neonate' && ((age_neonate_days > 0 && age_neonate_days < 2) || (age_neonate_hours > 24 && age_neonate_hours < 48) || (age_neonate_minutes > 24*60 && age_neonate_minutes < 2*24*60)) ))	Did the baby die more than 24 hours after birth but within 48 hours from birth?			1140
DIED_D36	true_to_y((ageInDays > 1 && ageInDays <= 7) || (age_group == 'neonate' && ( (age_neonate_days > 2 && age_neonate_days <= 7) || (age_neonate_hours > 48 && age_neonate_hours < 7*24) || (age_neonate_minutes > 2*24*60 && age_neonate_minutes < 7*24*60))))	Did baby die more than 48 hours from birth but within the first week of life?			1150
DIED_W1	true_to_y((ageInDays > 7 && ageInDays <= 28) || (age_group == 'neonate' && ( (age_neonate_days > 7 && age_neonate_days <= 28) || (age_neonate_hours > 7*24 && age_neonate_hours < 28*24) || (age_neonate_minutes > 7*24*60 && age_neonate_minutes < 28*24*60) )))	Did baby die after first week, but within first 28 days?			1160
ACUTE	true_to_y(id3A300 >= 0 && id3A300 < 7*3)	Was (s)he ill for less than 3 weeks before death?	For how many days was (s)he ill before (s)he died?	Unit in days	1170
CHRONIC	true_to_y(id3A300 >= 7*3)	Was (s)he ill for 3 weeks or more before death?	For how many days was (s)he ill before (s)he died?	Unit in days	1180
SUDDEN	true_to_y(id3A310 == 'yes')	Did (s)he die suddenly?	Did (s)he die suddenly?		1190
WET_SEAS	true_to_y(id3A280 == 'wet')	Did (s)he die during the wet season?	During which season did (s)he die?		1200
DRY_SEAS	true_to_y(id3A280 == 'dry')	Did (s)he die during the dry season?	During which season did (s)he die?		1210
HEART_DIS	true_to_y(id3A160 == 'yes')	Was there any diagnosis of Heart disease	Was there any diagnosis by a physician or health worker of heart disease?		1220
TUBER	true_to_y(id3A100 == 'yes')	Was there any diagnosis of Tuberculosis	Was there any diagnosis by a physician or health worker of tuberculosis?		1230
HIV_AIDS	true_to_y(id3A110 == 'yes')	Was there any diagnosis of HIV/AIDS	Was there any diagnosis by a physician or health worker of HIV/AIDS?		1240
HYPERT	true_to_y(id3A150 == 'yes')	Was there any diagnosis of High Blood pressure	Was there any diagnosis by a physician or health worker of high blood pressure?		1250
DIABETES	true_to_y(id3A170 == 'yes')	Was there any diagnosis of Diabetes	Was there any diagnosis by a physician or health worker of diabetes?		1260
ASTHMA	true_to_y(id3A180 == 'yes')	Was there any diagnosis of Asthma	Was there any diagnosis by a physician or health worker of asthma?		1270
EPILEPSY	true_to_y(id3A190 == 'yes')	Was there any diagnosis of Epilepsy	Was there any diagnosis by a physician or health worker of epilepsy?		1280
CANCER	true_to_y(id3A200 == 'yes')	Was there any diagnosis of Cancer	Was there any diagnosis by a physician or health worker of cancer?		1290
COPD	true_to_y(id3A210 == 'yes')	Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD)	Was there any diagnosis by a physician or health worker of Chronic Obstructive Pulmonary Disease (COPD)?		1300
DEMENT	true_to_y(id3A220 == 'yes')	Was there any diagnosis of Dementia	Was there any diagnosis by a physician or health worker of dementia?		1310
DEPRESS	true_to_y(id3A230 == 'yes')	Was there any diagnosis of Depression	Was there any diagnosis by a physician or health worker of depression?		1320
STROKE	true_to_y(id3A240 == 'yes')	 Was there any diagnosis of Stroke	Was there any diagnosis by a physician or health worker of stroke?		1330
SICKLE	true_to_y(id3A250 == 'yes')	Was there any diagnosis of Sickle cell disease	Was there any diagnosis by a physician or health worker of sickle cell disease?		1340
KIDNEY_DIS	true_to_y(id3A260 == 'yes')	Was there any diagnosis of Kidney disease	Was there any diagnosis by a physician or health worker of kidney disease?		1350
LIVER_DIS	true_to_y(id3A270 == 'yes')	Was there any diagnosis of Liver disease	Was there any diagnosis by a physician or health worker of liver disease?		1360
MEASLES	true_to_y(id3A140 == 'yes')	Was there any diagnosis of Measles	Was there any diagnosis by a physician or health worker of measles?		1370
MEN_CON	true_to_y(id3B420 == 'yes')	Did (s)he have mental confusion?	Did (s)he have mental confusion?		1380
MENCON3	true_to_y(id3B420 == 'yes' && id3B430 >= 3*30)	Did (s)he have mental confusion for 3 months or more?	For how many months did (s)he have mental confusion?		1390
