target variable	mapping	type	caption or calculation	Note	
SubmissionDate	SubmissionDate				
interviewstarttime	paste(substr(id2A140, 0, 10),substr(id2A130, 0, 8))	get start time	Start time of interview		
interviewdate	substr(id2A140,0,10)	get today	Date of interview		
Generalmodule-gen_1_1	""""""	add note prompt	"This instrument was developed by the Population Health Metrics Research Consortium.

Swipe to begin the General Information Module."		
Generalmodule-gen_1_2	""""""	add note prompt	Instructions to interviewer: Introduce yourself and explain the purpose of your visit. Ask to speak to the mother or to another adult who was the deceased's main caretaker during the illness that led to death. If this is not possible, arrange a time to revisit the household when the caretaker will be home. 		
Generalmodule-gen_1_3	""""""	add note prompt	My name is [your name]. I am your interviewer with (Organization Name). I have been informed that a death has occurred in your household. I am very sorry to hear that a member of your household has passed away. Please accept my sympathies. For the purpose of improving health care, we are collecting information on all recent deaths in this area. I would like to talk to the mother or main caretaker of the deceased and ask some questions about the events and any symptoms that the deceased had during her/his illness before death.		
Generalmodule-sid	"paste(""StudyIDNo"",rec_id,sep="""")"	add text prompt	What is the study ID number?		
Generalmodule-general2-gen_2_4	id1A530	add text prompt	Address of/directions to household		
Generalmodule-general3-gen_3_b	""""""	add note prompt	INTERVIEWER: Read the consent form to the respondent.  Ask the respondent if he or she has any questions. Once any questions are answered, ask the respondent if he or she is willing to take part in the study.		
Generalmodule-general3-gen_3_1a	""""""	add video prompt	Record video of respondent acknowledging consent.		
Generalmodule-general3-gen_3_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id2A150')	add select one prompt using yesnoonly	Did respondent give consent?		
Generalmodule-general3-qconsentCheck-gen_3_2	""""""	add note prompt	Thank the respondent for his/her time and end the interview.		
gen_5_a	""""""	add note prompt	Questions on the Deceased Section		
general5-gen_5_0	paste(id1A100a,id1A100b)	add text prompt	What was the name of the deceased?		
general5-birthDate-gen_5_1a	exp_def(substr(id1A210,0,4),999)	add integer prompt	What year was the deceased born?		
general5-birthDate-gen_5_1b	exp_def(substr(id1A210,6,7),99)	add integer prompt	What month was the deceased born?		
general5-birthDate-gen_5_1c	exp_def(substr(id1A210,9,10),99)	add integer prompt	What day of the month was the deceased born?		
general5-birthDate-birthday	"paste(t_gen_5_1a,'-',t_gen_5_1b,'-',t_gen_5_1c,sep="""")"	calculate	concat(${gen_5_1a},'-', ${gen_5_1b},'-', ${gen_5_1c})		
general5-birthDate-wrongbirthday	""""""	add note prompt	Sorry, the birthday provided is past today's date.  Please go back and check the date.		
