TARIFF ODK VARNAME;expr;WHO ID;Tariff Question;WHO 2014 Question;Note
SubmissionDate;;WHO_MAPPING_UNAVAILABLE;;-;Not available in WHO Questionnaire, setting output to a fixed value.
interviewstarttime;paste(substr(id2A140, 0, 10),substr(id2A130, 0, 8));id2A130;;Date of interview;
interviewdate;substr(id2A140,0,10);id2A140;;Date of interview;
Generalmodule-gen_1_1;;WHO_MAPPING_UNAVAILABLE;"This instrument was developed by the Population Health Metrics Research Consortium.

Swipe to begin the General Information Module.";-;
Generalmodule-general2-gen_2_1;"""German""";WHO_MAPPING_UNAVAILABLE;2.1: Language of interview;-;Not available in WHO Questionnaire, setting output to a fixed value.
Generalmodule-general2-gen_2_2;id2A120;id2A120;2.2: Interviewer name;-;
Generalmodule-general2-gen_2_2a;;WHO_MAPPING_UNAVAILABLE;2.2a: Interviewer ID number;-;Not available in WHO Questionnaire, setting output to a fixed value.
Generalmodule-general2-sid;"paste(""StudyIDNo"",entryCount,sep="""")";WHO_MAPPING_UNAVAILABLE;What is the study ID number?;-;Setting to a running no.
Generalmodule-gen_2_4;;WHO_MAPPING_UNAVAILABLE;Instructions to interviewer: Introduce yourself and explain the purpose of your visit. ;-;
Generalmodule-gen_2_4a;;WHO_MAPPING_UNAVAILABLE;"My name is <output value="" /PHMRC_Full_Instrument_10_11_13/Generalmodule/general2/gen_2_2 ""/>. I am your interviewer with (Organization Name). I have been informed that a death has occurred in your household.";-;
Generalmodule-gen_3_a;;WHO_MAPPING_UNAVAILABLE;Consent Section;-;
Generalmodule-general3-gen_3_b;;WHO_MAPPING_UNAVAILABLE;INTERVIEWER: Read the consent form to the respondent. Ask the respondent if he or she has any questions. Once any questions are answered, ask the respondent if he or she is willing to take part in the study.;-;
Generalmodule-general3-gen_3_1;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id2A150');;Did respondent give consent?;Did the respondent give consent?;
Generalmodule-general3-qconsentCheck-gen_3_2;;WHO_MAPPING_UNAVAILABLE;Thank the respondent for his/her time and end the interview.;;
Generalmodule-gen_4_a;;WHO_MAPPING_UNAVAILABLE;Information about Respondent Section;;
Generalmodule-general4-gen_4_b;;WHO_MAPPING_UNAVAILABLE;Instructions to Interviewer: Inform the respondent that you would like to ask him/her some general questions about himself/herself.;;
Generalmodule-general4-gen_4_1;id2A100;id2A100;4.1: What is your (the respondent's) name?;;
Generalmodule-general4-gen_4_2;;WHO_MAPPING_UNAVAILABLE;4.2: What is the sex of the respondent?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_3;;WHO_MAPPING_UNAVAILABLE;4.3: What is your respondent's relationship to the deceased?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_3a;;WHO_MAPPING_UNAVAILABLE;4.3a: Birth attendant type (specify);;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_3b;;WHO_MAPPING_UNAVAILABLE;4.3b: Other male (specify);;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_3c;;WHO_MAPPING_UNAVAILABLE;4.3c: Other female (specify);;Not available in WHO Questionnaire
